district,state,work_sector,area_type,distance_from_city,gdp_per_capita,literacy_rate_male,literacy_rate_female,avg_upi_txn_volume
Nagarkurnool,Telangana,Agriculture,Urban,102.7,59.65,71.71,71.76,47.32
Nalgonda,Telangana,Construction,Urban,38.6,122.16,86.94,82.5,20.61
Narayanpet,Telangana,Food,Rural,192.3,90.57,74.77,69.74,54.42
Nirmal,Telangana,IT and Security,Urban,180.8,92.07,76.67,85.61,55.71
Nizamabad,Telangana,Medical,Rural,53.0,87.36,83.3,75.58,59.29
Peddapalli,Telangana,Food,Urban,38.3,80.91,84.79,85.48,27.03
Rajanna Sircilla,Telangana,Food,Urban,101.9,96.15,81.95,79.67,50.34
Ranga Reddy,Telangana,Construction,Urban,11.0,72.54,93.04,75.55,51.23
Sangareddy,Telangana,Medical,Rural,53.6,53.08,73.95,69.45,51.12
Siddipet,Telangana,Medical,Urban,100.0,67.64,76.1,89.05,35.03
Suryapet,Telangana,Construction,Urban,30.1,86.87,91.69,73.99,47.58
Vikarabad,Telangana,Food,Rural,130.1,100.18,76.26,60.51,33.49
Wanaparthy,Telangana,Services,Rural,16.4,76.24,73.27,93.05,73.05
Warangal,Telangana,Construction,Urban,163.8,112.64,82.46,71.71,37.16
Yadadri Bhuvanagiri,Telangana,Medical,Rural,58.5,76.52,78.39,66.43,65.95
Dhalai,Tripura,IT and Security,Urban,21.0,44.27,81.4,79.43,32.28
Gomati,Tripura,IT and Security,Rural,182.3,50.68,99.44,66.45,63.69
Khowai,Tripura,LifeStyle,Urban,106.5,93.6,74.45,82.93,37.72
North Tripura,Tripura,Manufacturing,Rural,56.3,92.46,77.93,74.47,46.7
Sepahijala,Tripura,Agriculture,Rural,78.4,38.18,83.32,94.85,67.33
South Tripura,Tripura,Manufacturing,Rural,186.6,106.22,83.47,65.1,63.35
Unakoti,Tripura,LifeStyle,Rural,158.6,99.82,72.08,63.96,48.18
West Tripura,Tripura,IT and Security,Rural,88.9,41.91,80.07,67.66,67.32
Agra,Uttar Pradesh,Manufacturing,Rural,187.4,88.75,93.55,70.68,71.53
Aligarh,Uttar Pradesh,Manufacturing,Urban,26.2,83.66,80.09,79.46,68.33
Ambedkar Nagar,Uttar Pradesh,Services,Rural,138.3,51.67,94.85,90.64,78.69
Amethi,Uttar Pradesh,Food,Rural,141.2,67.48,97.64,72.52,57.3
Amroha,Uttar Pradesh,Manufacturing,Urban,99.1,100.78,91.5,75.31,48.32
Auraiya,Uttar Pradesh,Medical,Urban,112.8,71.52,95.55,88.66,36.0
Ayodhya,Uttar Pradesh,Services,Urban,160.9,115.72,96.2,76.64,64.67
Azamgarh,Uttar Pradesh,LifeStyle,Urban,40.8,60.78,92.0,74.93,52.81
Baghpat,Uttar Pradesh,Construction,Rural,112.6,57.96,75.0,65.96,56.86
Bahraich,Uttar Pradesh,Manufacturing,Rural,13.7,82.77,72.49,74.97,51.31
Ballia,Uttar Pradesh,Services,Urban,126.7,97.68,99.35,87.27,41.07
Balrampur,Uttar Pradesh,Food,Urban,17.7,52.49,89.84,60.61,87.99
Banda,Uttar Pradesh,Medical,Rural,189.1,100.15,95.16,82.85,69.38
Barabanki,Uttar Pradesh,Food,Rural,185.9,74.89,73.31,82.3,52.69
Bareilly,Uttar Pradesh,Medical,Urban,129.6,101.37,88.07,71.89,73.47
Basti,Uttar Pradesh,IT and Security,Urban,198.3,79.42,89.4,60.46,27.13
Bhadohi,Uttar Pradesh,IT and Security,Urban,32.1,71.93,93.79,84.64,65.88
Bijnor,Uttar Pradesh,Services,Urban,194.9,65.28,70.6,76.11,58.96
Budaun,Uttar Pradesh,Medical,Urban,41.4,71.49,80.9,66.24,76.37
Bulandshahr,Uttar Pradesh,Food,Urban,164.3,72.9,74.45,67.65,28.76
Chandauli,Uttar Pradesh,Food,Rural,188.9,65.1,71.83,92.09,60.77
Chitrakoot,Uttar Pradesh,Agriculture,Urban,174.3,75.82,71.97,73.0,42.78
Deoria,Uttar Pradesh,LifeStyle,Rural,100.5,54.69,74.58,93.96,39.96
Etah,Uttar Pradesh,Services,Urban,28.7,84.22,75.31,68.04,64.19
Etawah,Uttar Pradesh,Food,Rural,188.9,56.75,78.26,84.2,45.83
Farrukhabad,Uttar Pradesh,Food,Rural,102.9,112.38,79.97,76.98,55.31
Fatehpur,Uttar Pradesh,Agriculture,Rural,103.0,84.33,89.25,66.34,47.49
Firozabad,Uttar Pradesh,LifeStyle,Rural,99.6,66.44,73.86,66.28,55.32
Gautam Buddha Nagar,Uttar Pradesh,LifeStyle,Rural,121.5,71.5,88.06,64.4,64.57
Ghaziabad,Uttar Pradesh,IT and Security,Rural,33.5,93.69,94.32,85.37,84.46
Ghazipur,Uttar Pradesh,Services,Rural,71.0,103.25,98.01,90.1,62.77
Gonda,Uttar Pradesh,Construction,Rural,182.0,113.76,97.88,75.93,46.66
Gorakhpur,Uttar Pradesh,LifeStyle,Rural,83.9,107.98,83.82,76.6,58.42
Hamirpur,Uttar Pradesh,Construction,Rural,152.4,75.91,75.63,74.77,36.69
Hapur,Uttar Pradesh,Services,Urban,164.4,83.89,71.09,86.67,34.38
Hardoi,Uttar Pradesh,Agriculture,Urban,95.5,86.71,82.97,76.41,47.3
Hathras,Uttar Pradesh,IT and Security,Urban,148.3,82.96,85.37,89.91,38.02
Jalaun,Uttar Pradesh,Construction,Rural,191.2,57.33,89.91,92.75,67.4
Jaunpur,Uttar Pradesh,Manufacturing,Rural,14.0,112.07,91.13,66.05,78.62
Jhansi,Uttar Pradesh,Food,Rural,67.6,48.59,79.38,67.64,64.14
Kannauj,Uttar Pradesh,Construction,Rural,188.2,38.72,94.78,92.05,49.44
Kanpur Dehat,Uttar Pradesh,Manufacturing,Urban,13.7,77.29,89.19,63.78,67.76
Kanpur Nagar,Uttar Pradesh,Services,Urban,185.3,58.97,88.75,83.57,81.06
Kasganj,Uttar Pradesh,Medical,Urban,129.4,85.67,74.97,84.99,32.95
Kaushambi,Uttar Pradesh,IT and Security,Rural,88.9,106.0,80.89,66.05,52.48
Kushinagar,Uttar Pradesh,IT and Security,Rural,12.5,83.37,73.17,71.95,68.66
Lakhimpur Kheri,Uttar Pradesh,Manufacturing,Urban,6.2,82.6,92.41,60.52,60.98
Lalitpur,Uttar Pradesh,LifeStyle,Urban,118.1,52.79,75.44,84.06,80.56
Lucknow,Uttar Pradesh,Medical,Rural,171.8,81.88,77.33,64.81,61.03
Maharajganj,Uttar Pradesh,Medical,Rural,179.5,51.2,88.33,90.42,67.08
Mahoba,Uttar Pradesh,Medical,Urban,28.5,118.8,90.69,79.6,78.18
Mainpuri,Uttar Pradesh,Manufacturing,Rural,182.3,62.7,75.0,81.29,53.9
Mathura,Uttar Pradesh,Medical,Urban,120.8,50.12,89.04,90.07,56.16
Mau,Uttar Pradesh,Manufacturing,Rural,112.0,81.23,75.06,60.68,58.82
Meerut,Uttar Pradesh,LifeStyle,Rural,153.1,70.47,90.75,87.21,31.64
Mirzapur,Uttar Pradesh,Food,Rural,119.6,114.11,98.93,61.52,59.33
Moradabad,Uttar Pradesh,Construction,Rural,134.0,87.96,98.54,60.52,32.36
Muzaffarnagar,Uttar Pradesh,Food,Urban,29.3,76.8,81.45,67.71,59.2
Pilibhit,Uttar Pradesh,Services,Urban,117.2,72.97,85.57,69.97,56.82
Pratapgarh,Uttar Pradesh,Manufacturing,Rural,194.6,70.24,72.12,84.36,38.77
Prayagraj,Uttar Pradesh,Medical,Rural,41.5,86.82,73.51,76.32,70.72
Raebareli,Uttar Pradesh,Services,Urban,52.2,104.44,70.45,69.18,64.76
Rampur,Uttar Pradesh,Agriculture,Urban,57.3,60.92,81.25,93.61,52.85
Saharanpur,Uttar Pradesh,Construction,Urban,97.9,64.93,73.77,75.35,72.67
Sambhal,Uttar Pradesh,Agriculture,Rural,67.3,45.8,99.0,87.25,41.22
Sant Kabir Nagar,Uttar Pradesh,Manufacturing,Rural,112.9,72.02,77.3,61.63,60.29
Shahjahanpur,Uttar Pradesh,LifeStyle,Rural,141.9,57.96,81.79,69.03,63.97
Shamli,Uttar Pradesh,IT and Security,Rural,51.5,109.11,94.63,76.8,64.64
Shravasti,Uttar Pradesh,Medical,Rural,196.7,72.31,80.64,86.63,42.5
Siddharthnagar,Uttar Pradesh,Manufacturing,Rural,98.3,111.05,89.82,60.37,35.18
Sitapur,Uttar Pradesh,Agriculture,Rural,166.0,85.17,77.33,72.67,53.91
Sonbhadra,Uttar Pradesh,Manufacturing,Rural,98.3,72.25,87.76,78.94,37.14
Sultanpur,Uttar Pradesh,Agriculture,Urban,51.7,45.42,89.52,69.07,41.62
Unnao,Uttar Pradesh,Medical,Rural,175.0,75.34,86.45,92.68,54.77
Varanasi,Uttar Pradesh,IT and Security,Rural,185.9,82.19,81.03,80.23,43.82
Almora,Uttarakhand,Medical,Urban,179.4,74.56,85.27,86.17,18.33
Bageshwar,Uttarakhand,Manufacturing,Rural,156.8,86.8,87.97,86.6,54.41
Chamoli,Uttarakhand,Services,Rural,97.6,77.81,80.44,73.89,49.5
Champawat,Uttarakhand,LifeStyle,Urban,77.4,57.13,74.25,85.24,28.55
Dehradun,Uttarakhand,Services,Urban,125.8,68.29,87.39,93.99,58.05
Haridwar,Uttarakhand,Services,Rural,139.9,77.66,89.07,76.66,59.41
Nainital,Uttarakhand,LifeStyle,Rural,18.9,106.09,72.29,77.53,40.25
Pauri,Uttarakhand,IT and Security,Rural,78.2,28.89,96.39,81.13,80.26
Pithoragarh,Uttarakhand,Construction,Rural,33.7,99.7,91.08,64.38,57.35
Rudraprayag,Uttarakhand,Manufacturing,Rural,99.2,68.62,96.59,93.21,37.23
Tehri,Uttarakhand,Agriculture,Rural,111.0,99.49,71.51,64.83,56.25
Udham Singh Nagar,Uttarakhand,LifeStyle,Rural,77.9,62.21,76.19,84.33,34.16
Uttarkashi,Uttarakhand,Agriculture,Rural,85.5,85.28,96.44,89.72,36.24
Alipurduar,West Bengal,Services,Rural,78.0,123.42,81.78,70.99,47.42
Bankura,West Bengal,Medical,Rural,87.8,84.14,97.0,78.52,40.49
Birbhum,West Bengal,Manufacturing,Rural,35.5,77.73,76.2,81.18,63.54
Cooch Behar,West Bengal,IT and Security,Rural,101.5,62.74,84.12,85.79,15.35
Dakshin Dinajpur,West Bengal,Food,Urban,188.0,60.58,85.12,86.3,57.51
Darjeeling,West Bengal,Agriculture,Rural,198.6,52.64,86.99,83.22,42.04
Hooghly,West Bengal,Manufacturing,Rural,23.5,116.67,70.43,88.58,48.53
Howrah,West Bengal,Medical,Urban,99.5,35.23,92.6,68.69,68.86
Jalpaiguri,West Bengal,LifeStyle,Rural,31.8,87.59,88.9,91.38,43.8
Jhargram,West Bengal,Agriculture,Rural,61.7,92.58,92.2,62.79,36.11
Kalimpong,West Bengal,Food,Urban,144.3,71.0,94.29,63.59,48.36
Kolkata,West Bengal,Construction,Rural,104.1,93.1,75.76,63.58,52.84
Malda,West Bengal,LifeStyle,Urban,7.9,88.47,91.84,65.24,41.73
Murshidabad,West Bengal,LifeStyle,Rural,154.2,64.74,87.39,87.6,37.48
Nadia,West Bengal,IT and Security,Rural,70.9,83.1,85.51,76.43,31.89
North 24 Parganas,West Bengal,Services,Rural,57.7,100.66,75.85,80.72,55.67
Paschim Bardhaman,West Bengal,IT and Security,Rural,82.3,69.75,92.72,94.51,39.47
Paschim Medinipur,West Bengal,Construction,Rural,198.7,66.46,88.93,89.44,64.51
Purba Bardhaman,West Bengal,Manufacturing,Urban,188.8,108.63,75.08,87.46,58.4
Purba Medinipur,West Bengal,Food,Rural,53.2,32.46,86.2,92.51,39.56
Purulia,West Bengal,Manufacturing,Rural,82.3,89.62,94.51,83.42,39.4
South 24 Parganas,West Bengal,Food,Urban,74.1,81.57,82.68,79.27,32.37
Uttar Dinajpur,West Bengal,Construction,Rural,33.6,87.85,78.15,63.47,45.26
