district,state,work_sector,area_type,distance_from_city,gdp_per_capita,literacy_rate_male,literacy_rate_female,avg_upi_txn_volume,gender,predicted_income
Karimganj,Assam,Manufacturing,Rural,167.5,121.3,81.84,76.14,62.01,Female,41423.91
Reasi,Jammu Kashmir,LifeStyle,Rural,63.7,80.63,80.06,81.01,63.56,Female,36901.65
West Khasi Hills,Meghalaya,Food,Rural,173.3,94.36,79.06,89.91,50.02,Female,38489.05
Tirunelveli,Tamil Nadu,LifeStyle,Rural,101.5,98.71,75.97,86.28,60.65,Female,17242.19
Gomati,Tripura,IT and Security,Rural,182.3,50.68,99.44,66.45,63.69,Male,33121.71
Diu,Dadra Nagar Haveli and Daman and Diu,Services,Urban,104.7,87.29,94.56,76.35,31.32,Male,21989.09
Purulia,West Bengal,Manufacturing,Rural,82.3,89.62,94.51,83.42,39.4,Female,31206.68
Muktsar,Punjab,LifeStyle,Urban,117.1,98.12,74.3,94.65,57.67,Female,38437.19
Tiruvannamalai,Tamil Nadu,IT and Security,Rural,192.4,101.55,92.53,90.48,45.32,Male,42148.46
Moradabad,Uttar Pradesh,Construction,Rural,134.0,87.96,98.54,60.52,32.36,Male,49077.31
Barpeta,Assam,Food,Rural,64.1,82.37,85.29,71.91,44.7,Female,24566.1
Mayiladuthurai,Tamil Nadu,Medical,Rural,185.3,68.82,75.73,91.53,34.15,Female,9194.86
Kishtwar,Jammu Kashmir,Agriculture,Urban,183.7,36.42,80.11,62.31,25.58,Female,29704.61
Washim,Maharashtra,LifeStyle,Urban,66.6,40.96,72.16,69.44,64.16,Male,23330.6
Doda,Jammu Kashmir,Services,Urban,94.3,70.84,91.24,67.99,51.57,Female,37674.87
Yadgir,Karnataka,Services,Rural,156.6,63.43,99.92,63.43,52.54,Male,20354.53
Patna,Bihar,Agriculture,Urban,159.0,75.83,84.18,73.43,28.83,Male,29053.54
Tirap,Arunachal Pradesh,Services,Rural,77.5,94.9,97.56,90.33,34.99,Male,66947.04
Surajpur,Chhattisgarh,Construction,Urban,184.3,98.57,93.45,88.89,64.02,Female,63324.06
Bastar,Chhattisgarh,Food,Rural,127.7,51.39,96.1,68.27,44.46,Male,29906.57
Ernakulam,Kerala,Services,Rural,186.8,52.04,71.3,69.07,64.35,Male,31592.75
Theni,Tamil Nadu,Agriculture,Urban,63.9,69.65,97.19,66.97,61.01,Male,13696.85
Ramban,Jammu Kashmir,Agriculture,Rural,166.1,116.11,84.73,72.06,35.65,Male,46466.3
Patna,Bihar,Agriculture,Urban,159.0,75.83,84.18,73.43,28.83,Male,24645.09
Seoni,Madhya Pradesh,Construction,Rural,162.5,125.99,93.95,70.82,39.01,Female,51007.55
Anupgarh,Rajasthan,Construction,Urban,154.9,53.33,94.8,66.5,55.4,Male,37269.0
Anupgarh,Rajasthan,Construction,Urban,154.9,53.33,94.8,66.5,55.4,Female,27511.31
Banswara,Rajasthan,Manufacturing,Rural,55.7,69.09,85.27,88.81,68.44,Male,50584.5
Kanpur Nagar,Uttar Pradesh,Services,Urban,185.3,58.97,88.75,83.57,81.06,Male,83169.12
Bhiwani,Haryana,IT and Security,Rural,28.6,90.94,88.64,77.63,67.38,Female,83722.24
Durg,Chhattisgarh,Construction,Rural,97.1,100.1,75.21,63.77,36.23,Male,77579.35
Sitapur,Uttar Pradesh,Agriculture,Rural,166.0,85.17,77.33,72.67,53.91,Female,31569.44
Viluppuram,Tamil Nadu,IT and Security,Rural,107.4,93.7,98.93,63.32,18.68,Male,29158.88
South West Delhi,Delhi,LifeStyle,Urban,34.2,91.41,87.57,69.47,72.32,Male,27287.13
Hanumangarh,Rajasthan,Construction,Urban,18.3,85.05,95.54,85.39,55.16,Female,34681.71
Nandyal,Andhra Pradesh,Food,Urban,52.4,70.95,88.75,60.76,68.12,Male,46741.89
Latehar,Jharkhand,IT and Security,Rural,115.8,69.19,79.94,76.67,55.03,Female,43221.02
Jalaun,Uttar Pradesh,Construction,Rural,191.2,57.33,89.91,92.75,67.4,Male,38942.26
Bhadradri Kothagudem,Telangana,Medical,Rural,190.9,88.55,85.06,78.55,58.0,Female,64393.12
Bhind,Madhya Pradesh,Services,Urban,83.4,45.26,91.61,72.51,68.19,Female,22845.96
Murshidabad,West Bengal,LifeStyle,Rural,154.2,64.74,87.39,87.6,37.48,Male,35831.56
Raichur,Karnataka,Agriculture,Rural,114.8,84.58,74.48,85.95,30.7,Male,31900.27
Ukhrul,Manipur,Food,Urban,13.8,88.46,88.14,92.94,53.02,Female,23689.82
Datia,Madhya Pradesh,Medical,Rural,145.2,93.23,77.07,77.43,56.6,Male,69002.49
Tehri,Uttarakhand,Agriculture,Rural,111.0,99.49,71.51,64.83,56.25,Female,58263.54
Shimoga,Karnataka,Agriculture,Urban,163.5,105.1,93.19,82.11,49.02,Male,46609.68
Khairagarh,Chhattisgarh,LifeStyle,Rural,142.2,131.31,74.78,70.19,55.85,Male,54127.56
East Jaintia Hills,Meghalaya,Construction,Urban,20.7,92.12,94.42,88.53,58.3,Female,52234.95
West Godavari,Andhra Pradesh,Manufacturing,Urban,193.5,80.3,92.22,80.21,76.73,Female,61667.64
Purba Bardhaman,West Bengal,Manufacturing,Urban,188.8,108.63,75.08,87.46,58.4,Male,49281.0
Thoothukudi,Tamil Nadu,IT and Security,Rural,146.4,75.58,76.7,76.18,32.53,Male,58352.48
Kamrup Metropolitan,Assam,Agriculture,Rural,176.8,90.49,74.02,86.03,69.53,Male,54761.82
Sarangarh Bilaigarh,Chhattisgarh,Manufacturing,Urban,74.9,74.61,83.97,78.46,60.81,Male,37947.26
Poonch,Jammu Kashmir,Services,Rural,148.1,86.43,71.14,77.57,51.73,Female,22283.83
Kishanganj,Bihar,Agriculture,Rural,130.2,50.04,89.69,65.9,43.43,Male,13530.62
Kathua,Jammu Kashmir,Food,Rural,178.2,59.73,84.44,94.09,73.9,Male,18195.58
West Delhi,Delhi,Agriculture,Rural,194.7,97.55,91.1,76.22,68.13,Male,12586.04
Kaimur,Bihar,IT and Security,Rural,112.3,57.07,99.04,87.34,40.3,Male,23651.72
Tamulpur,Assam,Agriculture,Urban,40.0,52.79,79.04,88.79,61.17,Female,55479.0
Rohtas,Bihar,Food,Rural,167.2,61.87,90.97,90.64,35.47,Female,35555.89
Yanam,Puducherry,Food,Urban,122.6,62.08,74.72,87.83,45.37,Male,49075.35
Guntur,Andhra Pradesh,Agriculture,Rural,172.6,89.86,84.94,74.3,51.3,Male,37204.69
Balaghat,Madhya Pradesh,Agriculture,Rural,20.6,86.73,72.1,65.76,32.12,Female,11127.97
Kurung Kumey,Arunachal Pradesh,Food,Rural,181.5,87.98,71.34,71.93,55.66,Female,36313.6
Balrampur,Chhattisgarh,Construction,Rural,99.1,99.48,90.43,83.16,49.09,Male,44463.1
Balrampur,Uttar Pradesh,Food,Urban,17.7,52.49,89.84,60.61,87.99,Female,35160.13
Ranipet,Tamil Nadu,Construction,Urban,119.9,62.75,88.78,73.51,73.12,Female,5000.0
Beawar,Rajasthan,Manufacturing,Rural,54.3,77.73,83.87,81.59,48.94,Female,27918.06
Kondagaon,Chhattisgarh,LifeStyle,Urban,65.4,77.45,81.33,65.03,62.09,Male,58499.13
South 24 Parganas,West Bengal,Food,Urban,74.1,81.57,82.68,79.27,32.37,Male,47944.07
Thrissur,Kerala,IT and Security,Rural,194.7,34.0,82.33,76.12,44.02,Male,18136.18
Faridkot,Punjab,Services,Rural,168.6,108.54,98.89,93.04,49.63,Male,34410.78
Almora,Uttarakhand,Medical,Urban,179.4,74.56,85.27,86.17,18.33,Female,28804.42
Lower Subansiri,Arunachal Pradesh,IT and Security,Rural,126.6,82.48,86.81,66.23,30.12,Male,16077.98
Jamtara,Jharkhand,Manufacturing,Urban,134.7,72.1,82.22,66.16,77.84,Male,5000.0
Jangaon,Telangana,Medical,Rural,63.9,76.17,89.92,77.51,94.75,Female,49538.53
Jodhpur,Rajasthan,Construction,Urban,70.8,78.51,99.49,67.06,65.69,Female,9713.28
Debagarh,Odisha,Medical,Rural,11.7,52.05,71.84,94.0,53.35,Female,8755.24
Dharwad,Karnataka,IT and Security,Rural,50.5,90.35,75.95,72.17,53.22,Female,21404.59
Nizamabad,Telangana,Medical,Rural,53.0,87.36,83.3,75.58,59.29,Male,34736.74
Patan,Gujarat,Food,Rural,134.2,75.21,84.17,73.51,39.89,Male,43681.2
Chitradurga,Karnataka,Agriculture,Rural,50.7,98.72,91.54,94.79,60.97,Male,42132.98
Dang,Gujarat,Food,Urban,106.7,104.57,77.01,68.97,18.45,Male,21592.22
Mathura,Uttar Pradesh,Medical,Urban,120.8,50.12,89.04,90.07,56.16,Male,26452.28
South Salmara-Mankachar,Assam,IT and Security,Rural,92.7,61.7,95.02,92.81,56.59,Female,46113.82
Sonipat,Haryana,Agriculture,Urban,138.4,84.68,89.41,93.37,18.32,Male,17740.02
Sheikhpura,Bihar,Medical,Rural,157.5,60.55,98.4,87.89,41.01,Female,23498.69
Kondagaon,Chhattisgarh,LifeStyle,Urban,65.4,77.45,81.33,65.03,62.09,Female,35874.63
Vidisha,Madhya Pradesh,Services,Rural,66.6,35.5,75.2,81.87,58.46,Female,12114.38
Mon,Nagaland,Agriculture,Rural,165.7,73.53,98.13,67.07,63.22,Male,52458.38
Ukhrul,Manipur,Food,Urban,13.8,88.46,88.14,92.94,53.02,Male,28167.01
Kutch,Gujarat,Agriculture,Urban,175.5,66.03,73.74,80.83,40.94,Male,7527.72
Balrampur,Chhattisgarh,Construction,Rural,99.1,99.48,90.43,83.16,49.09,Female,32360.51
Balrampur,Uttar Pradesh,Food,Urban,17.7,52.49,89.84,60.61,87.99,Female,8993.76
West Godavari,Andhra Pradesh,Manufacturing,Urban,193.5,80.3,92.22,80.21,76.73,Female,23708.44
Seraikela Kharsawan,Jharkhand,IT and Security,Rural,162.0,92.85,83.02,83.77,57.96,Male,34191.45
Mainpuri,Uttar Pradesh,Manufacturing,Rural,182.3,62.7,75.0,81.29,53.9,Female,34401.13
Chittorgarh,Rajasthan,Manufacturing,Urban,120.8,115.25,95.3,90.54,65.85,Male,78199.82
Amethi,Uttar Pradesh,Food,Rural,141.2,67.48,97.64,72.52,57.3,Female,32071.23
Chumukedima,Nagaland,IT and Security,Urban,167.5,67.07,83.17,67.63,44.98,Male,25166.13
Patan,Gujarat,Food,Rural,134.2,75.21,84.17,73.51,39.89,Male,41140.93
Koraput,Odisha,Agriculture,Rural,86.9,101.28,85.37,62.35,52.92,Female,37779.21
Viluppuram,Tamil Nadu,IT and Security,Rural,107.4,93.7,98.93,63.32,18.68,Female,39101.95
Beed,Maharashtra,Manufacturing,Urban,95.0,75.03,88.47,75.61,23.21,Male,35704.75
Haveri,Karnataka,LifeStyle,Urban,64.4,33.18,79.68,77.94,61.37,Male,30453.17
Farrukhabad,Uttar Pradesh,Food,Rural,102.9,112.38,79.97,76.98,55.31,Male,57435.59
Alluri Sitarama Raju,Andhra Pradesh,LifeStyle,Rural,126.4,72.31,72.47,64.72,56.23,Male,55812.27
Lucknow,Uttar Pradesh,Medical,Rural,171.8,81.88,77.33,64.81,61.03,Male,44390.33
Dungarpur,Rajasthan,IT and Security,Urban,36.6,96.96,99.91,60.2,62.0,Female,52098.88
Lower Dibang Valley,Arunachal Pradesh,Services,Rural,149.0,95.39,70.45,72.98,42.89,Female,53266.37
Krishna,Andhra Pradesh,Manufacturing,Urban,130.9,85.15,85.88,86.95,68.14,Male,33628.2
Bijapur,Chhattisgarh,Agriculture,Urban,89.6,110.96,79.27,77.58,46.94,Male,48209.76
Bhilwara,Rajasthan,Medical,Urban,68.8,77.18,77.19,63.68,82.28,Female,13127.94
Dhenkanal,Odisha,Construction,Rural,188.1,44.36,87.55,86.15,33.9,Female,34927.04
Niwari,Madhya Pradesh,Services,Rural,81.9,116.26,80.58,84.15,51.98,Male,52622.97
Nizamabad,Telangana,Medical,Rural,53.0,87.36,83.3,75.58,59.29,Female,31766.99
Jodhpur Rural,Rajasthan,Manufacturing,Rural,36.1,59.87,83.74,70.61,49.92,Female,7263.4
Dahod,Gujarat,Manufacturing,Rural,147.2,45.72,98.95,76.7,75.5,Female,22354.14
Dharwad,Karnataka,IT and Security,Rural,50.5,90.35,75.95,72.17,53.22,Male,29393.71
Mainpuri,Uttar Pradesh,Manufacturing,Rural,182.3,62.7,75.0,81.29,53.9,Male,30021.24
Alwar,Rajasthan,Services,Rural,143.2,67.58,72.14,69.62,46.14,Female,28320.29
Gonda,Uttar Pradesh,Construction,Rural,182.0,113.76,97.88,75.93,46.66,Female,5000.0
Unnao,Uttar Pradesh,Medical,Rural,175.0,75.34,86.45,92.68,54.77,Male,59208.12
Kalahandi,Odisha,Manufacturing,Urban,151.1,41.61,80.3,88.23,37.59,Male,13874.86
Khairthal Tijara,Rajasthan,IT and Security,Urban,10.4,87.02,91.78,89.01,77.58,Female,40445.84
Banka,Bihar,LifeStyle,Rural,166.1,96.76,92.72,75.33,47.77,Male,35654.9
Hailakandi,Assam,Agriculture,Rural,5.8,66.96,78.64,75.64,47.42,Female,23436.07
Gaya,Bihar,Construction,Rural,142.3,82.79,77.86,65.78,56.46,Male,53299.03
West Kameng,Arunachal Pradesh,IT and Security,Rural,34.8,54.91,76.01,81.5,42.35,Female,6801.63
Uttarkashi,Uttarakhand,Agriculture,Rural,85.5,85.28,96.44,89.72,36.24,Male,21847.97
Virudhunagar,Tamil Nadu,IT and Security,Rural,171.5,89.14,74.68,60.88,49.93,Male,47673.59
Erode,Tamil Nadu,Food,Rural,151.3,85.0,84.84,71.31,46.74,Male,7823.18
Kabirdham,Chhattisgarh,Medical,Rural,83.6,95.71,94.26,65.81,56.11,Male,37592.71
West Jaintia Hills,Meghalaya,Construction,Rural,199.1,99.02,93.08,76.67,71.32,Male,41102.4
Beed,Maharashtra,Manufacturing,Urban,95.0,75.03,88.47,75.61,23.21,Male,36541.53
Kurnool,Andhra Pradesh,Agriculture,Urban,95.2,47.55,88.07,60.38,47.24,Female,42478.8
Kozhikode,Kerala,Food,Rural,13.9,50.08,88.31,71.5,31.26,Male,12638.66
Thanjavur,Tamil Nadu,Food,Rural,139.1,71.57,87.35,61.04,42.39,Female,39130.42
Nirmal,Telangana,IT and Security,Urban,180.8,92.07,76.67,85.61,55.71,Male,51169.02
Sirsa,Haryana,Agriculture,Rural,134.3,79.07,94.19,73.72,75.51,Female,14344.45
Jabalpur,Madhya Pradesh,Food,Urban,151.8,65.57,74.86,84.15,35.65,Female,31280.4
Arwal,Bihar,Medical,Urban,134.7,78.24,74.53,74.51,45.78,Male,23378.44
East Khasi Hills,Meghalaya,Manufacturing,Rural,94.3,64.76,93.57,86.87,3.75,Female,48346.88
Mamit,Mizoram,Agriculture,Urban,59.1,60.45,77.87,76.75,66.34,Male,26214.58
Alwar,Rajasthan,Services,Rural,143.2,67.58,72.14,69.62,46.14,Male,7849.06
Shahdol,Madhya Pradesh,Services,Rural,177.2,88.14,74.25,92.68,56.14,Male,47762.32
South Andaman,Andaman Nicobar,Services,Rural,144.8,79.5,96.69,84.71,35.57,Female,6538.73
Kota,Rajasthan,IT and Security,Urban,111.0,85.62,92.77,64.85,47.42,Female,47979.5
Jalpaiguri,West Bengal,LifeStyle,Rural,31.8,87.59,88.9,91.38,43.8,Female,44572.05
Dima Hasao,Assam,LifeStyle,Rural,25.6,76.1,89.33,81.97,70.87,Female,44506.24
Udupi,Karnataka,IT and Security,Rural,9.3,102.1,95.78,74.78,51.0,Male,23375.14
Kishtwar,Jammu Kashmir,Agriculture,Urban,183.7,36.42,80.11,62.31,25.58,Male,17628.43
Panna,Madhya Pradesh,Construction,Rural,143.2,93.02,73.29,67.39,55.67,Male,11973.94
Bemetara,Chhattisgarh,Services,Rural,112.5,103.06,81.08,62.5,25.97,Male,41217.56
Siddipet,Telangana,Medical,Urban,100.0,67.64,76.1,89.05,35.03,Male,31770.17
Karbi Anglong,Assam,Medical,Rural,164.9,79.87,96.05,62.89,39.57,Female,30204.28
Shamli,Uttar Pradesh,IT and Security,Rural,51.5,109.11,94.63,76.8,64.64,Female,48692.04
Patiala,Punjab,Agriculture,Urban,198.0,59.52,78.18,80.26,49.78,Male,32700.53
Medak,Telangana,Manufacturing,Rural,170.8,117.37,70.61,90.24,62.23,Male,80229.23
Bikaner,Rajasthan,Food,Rural,68.3,46.99,79.87,91.03,53.11,Female,21143.72
Phek,Nagaland,Manufacturing,Rural,141.1,104.73,84.3,94.5,49.26,Female,67936.01
Lucknow,Uttar Pradesh,Medical,Rural,171.8,81.88,77.33,64.81,61.03,Female,50537.05
Korba,Chhattisgarh,Food,Rural,189.6,92.89,97.08,80.86,69.99,Female,40660.55
Kamrup Metropolitan,Assam,Agriculture,Rural,176.8,90.49,74.02,86.03,69.53,Male,44977.26
Lohit,Arunachal Pradesh,Services,Rural,107.2,64.57,91.88,72.78,27.75,Male,25173.91
Banswara,Rajasthan,Manufacturing,Rural,55.7,69.09,85.27,88.81,68.44,Female,45679.35
Valsad,Gujarat,LifeStyle,Urban,185.2,66.93,99.88,86.87,63.89,Male,36211.42
Subarnapur,Odisha,Construction,Urban,139.2,69.37,73.37,76.0,34.68,Female,20611.52
Fatehabad,Haryana,Food,Rural,76.4,78.0,92.28,61.54,51.58,Male,66556.11
Eluru,Andhra Pradesh,LifeStyle,Rural,52.2,109.58,78.63,82.09,31.38,Male,25551.58
Gorakhpur,Uttar Pradesh,LifeStyle,Rural,83.9,107.98,83.82,76.6,58.42,Female,52525.45
Anand,Gujarat,Services,Urban,36.2,77.97,89.22,87.48,24.26,Male,30668.92
Sitapur,Uttar Pradesh,Agriculture,Rural,166.0,85.17,77.33,72.67,53.91,Female,37215.11
Boudh,Odisha,Construction,Rural,115.7,57.85,96.1,89.4,58.89,Male,60766.59
Senapati,Manipur,IT and Security,Urban,140.6,53.44,86.9,75.78,49.6,Male,37549.46
Haridwar,Uttarakhand,Services,Rural,139.9,77.66,89.07,76.66,59.41,Female,37315.15
Dhemaji,Assam,IT and Security,Urban,194.2,98.06,79.21,85.56,55.86,Female,38339.66
Udupi,Karnataka,IT and Security,Rural,9.3,102.1,95.78,74.78,51.0,Female,37800.64
Kaushambi,Uttar Pradesh,IT and Security,Rural,88.9,106.0,80.89,66.05,52.48,Male,40542.14
Sambhal,Uttar Pradesh,Agriculture,Rural,67.3,45.8,99.0,87.25,41.22,Female,36020.76
Kota,Rajasthan,IT and Security,Urban,111.0,85.62,92.77,64.85,47.42,Male,47968.82
Kotputli Behror,Rajasthan,Food,Rural,140.1,68.39,79.17,65.38,46.97,Female,50068.05
East Kameng,Arunachal Pradesh,Agriculture,Urban,190.9,61.74,98.01,83.93,50.44,Female,16362.93
Puducherry,Puducherry,Medical,Rural,8.1,98.68,90.18,72.82,51.18,Male,20740.99
Sukma,Chhattisgarh,Construction,Urban,106.9,82.73,96.16,60.96,47.7,Male,14569.13
Balasore,Odisha,Services,Rural,87.6,122.18,82.34,60.99,55.25,Male,30113.21
Charaideo,Assam,Medical,Rural,124.8,123.17,99.67,81.97,70.5,Male,53260.49
Rudraprayag,Uttarakhand,Manufacturing,Rural,99.2,68.62,96.59,93.21,37.23,Male,20254.65
Bharatpur,Rajasthan,Agriculture,Urban,31.1,79.87,74.39,81.56,47.69,Male,33778.88
Nagarkurnool,Telangana,Agriculture,Urban,102.7,59.65,71.71,71.76,47.32,Female,7053.04
Koderma,Jharkhand,Manufacturing,Rural,178.3,72.78,75.44,70.03,12.86,Female,40508.85
Longleng,Nagaland,Manufacturing,Urban,18.2,100.05,82.99,93.22,45.74,Female,36566.03
Guna,Madhya Pradesh,Construction,Rural,55.4,78.02,82.88,72.97,42.79,Female,24452.34
Chitradurga,Karnataka,Agriculture,Rural,50.7,98.72,91.54,94.79,60.97,Female,39564.56
Malerkotla,Punjab,Food,Urban,194.3,93.31,72.9,69.02,53.76,Male,39857.9
Kamrup Rural,Assam,LifeStyle,Urban,173.9,78.67,84.08,90.84,58.11,Female,41291.7
Banaskantha,Gujarat,Construction,Rural,197.6,89.73,74.82,75.42,48.49,Male,40111.11
Purba Medinipur,West Bengal,Food,Rural,53.2,32.46,86.2,92.51,39.56,Male,22156.51
Bathinda,Punjab,Manufacturing,Urban,44.0,81.28,70.6,92.41,82.02,Male,25097.08
Kannur,Kerala,Construction,Urban,135.6,78.44,74.32,63.36,62.29,Female,27804.5
Vellore,Tamil Nadu,LifeStyle,Urban,44.1,88.63,79.95,77.04,31.06,Female,32785.57
Kapurthala,Punjab,Medical,Urban,57.6,64.9,93.7,81.14,74.14,Male,16065.17
Tengnoupal,Manipur,Medical,Urban,48.8,82.5,76.13,70.12,50.78,Female,15503.84
Vijayanagara,Karnataka,Manufacturing,Rural,194.0,62.6,93.19,75.45,33.15,Male,15321.01
Gandhinagar,Gujarat,Medical,Rural,177.0,92.89,72.21,69.87,64.42,Male,18145.84
Tirupattur,Tamil Nadu,Medical,Rural,193.5,62.46,75.58,63.35,57.52,Female,37492.71
Gwalior,Madhya Pradesh,Services,Rural,187.6,89.95,89.97,77.82,57.92,Female,27750.55
Gautam Buddha Nagar,Uttar Pradesh,LifeStyle,Rural,121.5,71.5,88.06,64.4,64.57,Female,22394.4
Hooghly,West Bengal,Manufacturing,Rural,23.5,116.67,70.43,88.58,48.53,Female,41976.78
Bishnupur,Manipur,Agriculture,Rural,124.0,80.95,77.77,92.21,61.31,Female,39699.3
Upper Subansiri,Arunachal Pradesh,Medical,Rural,122.1,90.92,80.37,80.71,70.26,Male,20745.05
Kamrup Metropolitan,Assam,Agriculture,Rural,176.8,90.49,74.02,86.03,69.53,Male,57715.67
Mayiladuthurai,Tamil Nadu,Medical,Rural,185.3,68.82,75.73,91.53,34.15,Female,27119.74
Palwal,Haryana,Food,Rural,154.4,37.2,73.19,81.11,27.23,Male,11746.56
Nashik,Maharashtra,Agriculture,Urban,183.1,82.65,90.0,72.72,43.26,Female,21875.57
Kishtwar,Jammu Kashmir,Agriculture,Urban,183.7,36.42,80.11,62.31,25.58,Female,72349.55
Nicobar,Andaman Nicobar,LifeStyle,Rural,40.1,85.06,91.74,65.81,47.47,Female,56972.15
Durg,Chhattisgarh,Construction,Rural,97.1,100.1,75.21,63.77,36.23,Male,25112.12
Chamoli,Uttarakhand,Services,Rural,97.6,77.81,80.44,73.89,49.5,Female,20078.12
Rampur,Uttar Pradesh,Agriculture,Urban,57.3,60.92,81.25,93.61,52.85,Male,20147.46
Jodhpur,Rajasthan,Construction,Urban,70.8,78.51,99.49,67.06,65.69,Male,37894.66
Sivasagar,Assam,Services,Urban,88.9,94.89,77.17,81.1,37.51,Male,57026.0
Dima Hasao,Assam,LifeStyle,Rural,25.6,76.1,89.33,81.97,70.87,Male,49145.38
Kutch,Gujarat,Agriculture,Urban,175.5,66.03,73.74,80.83,40.94,Female,40852.43
Morigaon,Assam,Services,Rural,21.1,74.14,98.29,70.51,49.19,Female,27540.87
Chhindwara,Madhya Pradesh,Construction,Rural,19.7,131.37,83.71,77.81,74.09,Male,34207.5
Ranchi,Jharkhand,LifeStyle,Rural,107.3,59.21,93.33,79.85,49.09,Male,22939.72
Anuppur,Madhya Pradesh,Agriculture,Rural,93.3,71.46,71.59,62.69,45.03,Female,51455.66
Madurai,Tamil Nadu,Manufacturing,Urban,87.9,85.66,71.44,76.27,53.88,Female,52056.59
Nicobar,Andaman Nicobar,LifeStyle,Rural,40.1,85.06,91.74,65.81,47.47,Male,15182.3
Ambedkar Nagar,Uttar Pradesh,Services,Rural,138.3,51.67,94.85,90.64,78.69,Male,47032.61
Theni,Tamil Nadu,Agriculture,Urban,63.9,69.65,97.19,66.97,61.01,Female,56651.69
Jiribam,Manipur,Construction,Urban,17.4,44.39,82.35,90.79,58.2,Female,22585.16
Mumbai City,Maharashtra,Food,Rural,40.6,77.22,70.87,64.6,53.7,Male,32322.21
Bandipora,Jammu Kashmir,Food,Rural,174.6,67.03,77.56,60.05,30.59,Female,30106.79
Komaram Bheem,Telangana,Manufacturing,Rural,132.6,87.12,82.1,78.97,44.67,Male,52041.11
Fatehabad,Haryana,Food,Rural,76.4,78.0,92.28,61.54,51.58,Female,20540.87
Jogulamba,Telangana,Services,Urban,23.7,95.27,97.66,60.22,71.98,Male,32997.85
Deoghar,Jharkhand,Services,Rural,144.3,79.56,71.69,87.97,59.3,Male,44035.26
Jhabua,Madhya Pradesh,IT and Security,Rural,58.9,58.66,93.58,83.3,66.76,Male,16475.23
Gwalior,Madhya Pradesh,Services,Rural,187.6,89.95,89.97,77.82,57.92,Female,51023.44
Bastar,Chhattisgarh,Food,Rural,127.7,51.39,96.1,68.27,44.46,Female,13499.91
Dindori,Madhya Pradesh,Manufacturing,Urban,86.8,90.99,84.48,82.15,61.06,Female,78331.56
Ballia,Uttar Pradesh,Services,Urban,126.7,97.68,99.35,87.27,41.07,Male,37936.01
Nellore,Andhra Pradesh,Medical,Rural,41.4,50.58,82.79,71.9,50.77,Male,36300.91
Kamrup Metropolitan,Assam,Agriculture,Rural,176.8,90.49,74.02,86.03,69.53,Female,35072.94
Dima Hasao,Assam,LifeStyle,Rural,25.6,76.1,89.33,81.97,70.87,Female,31489.49
Mahendragarh,Haryana,IT and Security,Rural,55.3,90.7,74.5,68.08,34.84,Male,27510.68
Central Delhi,Delhi,Medical,Urban,108.7,53.64,91.09,89.39,66.1,Female,5000.0
Peren,Nagaland,Services,Rural,109.5,76.42,95.35,60.5,67.66,Male,45448.3
Rajanna Sircilla,Telangana,Food,Urban,101.9,96.15,81.95,79.67,50.34,Male,17321.68
Kendrapara,Odisha,Construction,Urban,101.1,91.59,96.26,82.3,85.31,Female,60842.02
Lohit,Arunachal Pradesh,Services,Rural,107.2,64.57,91.88,72.78,27.75,Male,31724.31
Shaheed Bhagat Singh Nagar,Punjab,Food,Rural,175.5,75.42,70.21,68.67,27.44,Male,34420.14
Nilgiris,Tamil Nadu,Manufacturing,Urban,97.1,82.97,70.83,86.34,21.8,Male,29933.09
Champhai,Mizoram,Food,Urban,39.2,86.05,97.23,79.92,32.45,Male,31200.64
Nirmal,Telangana,IT and Security,Urban,180.8,92.07,76.67,85.61,55.71,Female,41674.33
Surat,Gujarat,IT and Security,Rural,74.7,136.71,88.3,83.75,54.15,Female,66838.46
Shahpura,Rajasthan,Construction,Rural,88.0,91.92,84.05,87.23,48.99,Female,35044.21
Tirunelveli,Tamil Nadu,LifeStyle,Rural,101.5,98.71,75.97,86.28,60.65,Male,66445.23
Balangir,Odisha,Medical,Urban,144.7,104.27,75.2,72.32,68.88,Male,42614.16
Raigarh,Chhattisgarh,Agriculture,Rural,5.7,104.82,94.66,90.35,44.25,Female,47817.95
Sheohar,Bihar,Medical,Urban,102.9,66.79,99.75,86.74,64.39,Male,13235.53
Changlang,Arunachal Pradesh,Construction,Urban,151.1,101.96,83.37,91.51,42.75,Female,51604.98
Jaipur Rural,Rajasthan,Agriculture,Urban,93.4,38.21,73.11,69.21,42.01,Male,38638.15
Karauli,Rajasthan,Food,Rural,107.5,40.27,73.4,77.02,59.96,Female,47330.74
Dima Hasao,Assam,LifeStyle,Rural,25.6,76.1,89.33,81.97,70.87,Male,59328.95
Koderma,Jharkhand,Manufacturing,Rural,178.3,72.78,75.44,70.03,12.86,Female,35538.96
Faridkot,Punjab,Services,Rural,168.6,108.54,98.89,93.04,49.63,Female,16567.07
Surat,Gujarat,IT and Security,Rural,74.7,136.71,88.3,83.75,54.15,Male,70290.24
Vikarabad,Telangana,Food,Rural,130.1,100.18,76.26,60.51,33.49,Male,54816.11
Chandigarh,Chandigarh,IT and Security,Urban,74.8,54.77,99.35,66.83,63.92,Male,37813.89
Firozpur,Punjab,Food,Rural,172.8,98.62,97.71,75.59,65.97,Male,55798.84
Jalaun,Uttar Pradesh,Construction,Rural,191.2,57.33,89.91,92.75,67.4,Male,30219.4
